osm_id,code,fclass,name
358636277,3100,christian,Amidon Street Baptist Church
358636279,3100,christian,Seventeenth Street Baptist Church
358636283,3100,christian,Mount Zion Baptist Church
358636286,3100,christian,Wellington Place Baptist Church
358636289,3100,christian,Evangel Assembly of God Church
358636293,3100,christian,Saint John Baptist Church
358636295,3100,christian,Glad Tidings Assembley of God Church
358636297,3100,christian,Morning Chapel
358636303,3100,christian,New Testament Baptist Church
358636308,3100,christian,Antioch Missionary Baptist Church
358636318,3100,christian,West Side Baptist Church
358636319,3100,christian,Allerton Baptist Church
358636322,3100,christian,First Assembly of God Church
358636325,3100,christian,First Free Will Baptist Church
358636327,3100,christian,New Testament Baptist Church
358636329,3100,christian,Shiloh Baptist Temple
358636330,3100,christian,Grace Baptist Church
358636332,3100,christian,Calvary Bible Church
358636333,3100,christian,Mid-Continent Baptist Church
358636337,3100,christian,Parkview Baptist Church
358636344,3100,christian,South City Baptist Church
358636345,3100,christian,Antioch Baptist Church
358636348,3100,christian,Trinity Assembly of God Church
358636349,3100,christian,Indian Southern Baptist Church
358636352,3100,christian,Fellowship Missionary Baptist Church
358636354,3100,christian,Bridgeport Missionary Baptist Church
358636359,3100,christian,Mexican American Baptist Church
358636367,3100,christian,Israelite Church of God in Christ
358636369,3100,christian,Community Church of God in Christ
358636371,3100,christian,Trinity Baptist Church
358636373,3104,christian_lutheran,Christ the King Lutheran Church
358636377,3100,christian,The Church of Jesus Christ of Latter-day Saints
358636382,3100,christian,First Evangelical Free Church
358636390,3100,christian,McDonald Park Congregation Jehovahs Witnesses
358636394,3100,christian,Grace Brethren Church
358636397,3100,christian,Central Congregation Jehovahs Witnesses
358636399,3100,christian,Trinity Chapel Foursquare Church
358636404,3100,christian,Plymouth Congregational Church
358636410,3104,christian_lutheran,Redeemer Lutheran Church
358636415,3104,christian_lutheran,Trinity Lutheran Church
358636421,3100,christian,First Church of Religious Science
358636427,3100,christian,Faith Chapel Full Gospel Church
358636432,3100,christian,Evangelical Covenant Church
358636448,3100,christian,Eastridge Church of the Nazarene
358636452,3100,christian,Emmanuel Temple Gospel Assembly Pentecostal Church
358636454,3100,christian,Bibleway Pentecostal Assembly Church
358636455,3100,christian,First Church of the Nazarene
358636458,3100,christian,Linwood Church of the Nazarene
358636460,3100,christian,Lorraine Avenue Mennonite Church
358636468,3100,christian,Full Gospel Chapel
358636470,3105,christian_methodist,Crestway Free Methodist Church
358636472,3100,christian,Rainbow Tabernacle Pentecostal Holiness Church
358636474,3100,christian,Gospel Lighthouse Pentecostal Church
358636476,3100,christian,Emmanuel Pentecostal Temple
358636478,3100,christian,The Source Wichita
358636481,3100,christian,North Ash Church of the Nazarene
358636483,3100,christian,Indian Hills Church of the Nazarene
358636484,3105,christian_methodist,Riverside Free Methodist Church
358636486,3105,christian_methodist,First Evangelical Methodist Church
358636487,3105,christian_methodist,Johnson Tabernacle Christian Methodist Episcopal Church
358636493,3100,christian,Assembly Full Gospel Church
358636505,3100,christian,Hyde Park Congregation Jehovahs Witnesses
358636510,3100,christian,University Friends Church
358636512,3100,christian,Metropolitan Community Church
358636514,3100,christian,Church of God of Prophecy
358636519,3100,christian,Community of Christ
358636523,3100,christian,Westside Church of the Nazarene
358636525,3100,christian,Open Bible Mennonite Brethren Church
358636527,3104,christian_lutheran,Bethany Lutheran Church
358636529,3100,christian,Santa Fe Congregation Jehovahs Witnesses
358636533,3100,christian,First Pentecostal Holiness Church
358636535,3100,christian,First Pentecostal United Church
358636537,3100,christian,North Congregation Jehovahs Witnesses
358636539,3100,christian,Full Gospel Tabernacle
358636541,3100,christian,New Hope Full Gospel Church
358636545,3100,christian,Zion Mennonite Church
358636546,3100,christian,Progressive Missionary Baptist Church
358636549,3104,christian_lutheran,Holy Cross Lutheran Church
358636550,3100,christian,Saint Marks Church of God in Christ
358636551,3100,christian,Tabernacle Church of God in Christ
358636553,3100,christian,Trinity Temple Church of God in Christ
358636555,3100,christian,New Convent Church of God in Christ
358636558,3100,christian,Holy Temple Church of God in Christ
